
6.594026417829319,Mechanical Engineering
6.384674009790832,Biochemistry and Biophysics
5.95491029272899,Computer Science
6.846273551974796,Nuclear Engineering
6.311475409836065,Aeronautical Engineering
7.362366660703538,Aeronautical Engineering
5.589743589743589,Architecture
6.868421052631579,None
6.919089712173927,Chemical Engineering
7.069672131147542,Information Technology
7.281565592489216,None
6.4511179616309855,Aeronautical Engineering
6.828252611585945,Aeronautical Engineering
6.84081043956044,Aeronautical Engineering
6.65255210186465,Environmental Engineering
6.384820467297017,Aeronautical Engineering
6.7391304347826075,None
7.330095499738356,Aeronautical Engineering
7.185185185185185,Computer Science
5.574769652463407,Mathematics
6.9708620503352865,Biomedical Engineering
6.326530612244898,Mechanical Engineering
7.734338472801597,Games and Simulation Arts and Sciences
6.183673469387754,None
6.701825078970417,Aeronautical Engineering
6.472947502550548,Electrical Engineering
6.960506141445012,Computer Science
6.6510905980063075,Biomedical Engineering
5.997350674373797,Computer Science
7.588590109563234,Aeronautical Engineering
6.941304022810109,Mechanical Engineering
7.028540418167478,Mechanical Engineering
6.964836438923395,Aeronautical Engineering
7.008620689655173,None
5.561700336700337,None
5.804878048780487,None
6.380651340996168,Aeronautical Engineering
6.76514686956485,Games and Simulation Arts and Sciences
6.978070175438596,Management
6.523470244589694,Mechanical Engineering
6.681624575951754,Mathematics
6.049206349206348,Mechanical Engineering
6.409193799018713,Games and Simulation Arts and Sciences
5.558441558441558,Aeronautical Engineering
6.8367108585858585,Aeronautical Engineering
6.677319118918669,Biomedical Engineering
6.528474130036632,Aeronautical Engineering
6.555500518490424,Computer and Systems Engineering
5.919260700389105,Environmental Engineering
6.770764495319018,Aeronautical Engineering
6.832749579249559,Environmental Engineering
7.17459470989761,Biomedical Engineering
7.423723072600553,Computer and Systems Engineering
5.872549019607842,Mechanical Engineering
7.460784313725489,Biochemistry and Biophysics
6.916990135320759,Aeronautical Engineering
6.649507479452259,Mechanical Engineering
6.951408914275718,Games and Simulation Arts and Sciences
6.246998430692502,Computer and Systems Engineering
6.322916666666666,Aeronautical Engineering
5.934003778424659,Computer Science
6.841463414634146,Architecture
7.832728647014362,Aeronautical Engineering
6.07347661492248,Aeronautical Engineering
7.154690069997715,Mathematics
6.466216216216217,Biochemistry and Biophysics
6.908060453400505,Information Technology
6.682748538011696,Chemical Engineering
5.321668059578669,Aeronautical Engineering
6.693670559725231,Computer Science
6.490196078431372,Mechanical Engineering
6.5726682662184785,Computer Science
6.863636363636363,None
6.6476304926215946,Biomedical Engineering
6.8377911208151385,Aeronautical Engineering
6.83128210773882,Environmental Engineering
6.243427428814245,Computer Science
7.065244260524043,Biomedical Engineering
6.994204876587749,Aeronautical Engineering
5.637039776462854,Aeronautical Engineering
7.222246376811594,Mechanical Engineering
6.937573964497041,Mechanical Engineering
7.263919189704736,Mathematics
7.02287611740491,Aeronautical Engineering
6.419826917150537,Biomedical Engineering
6.12962962962963,None
7.110948059730889,Information Technology
6.466252997445948,None
6.959075288343331,Games and Simulation Arts and Sciences
6.197762974263257,Mechanical Engineering
6.21998107011762,Aeronautical Engineering
6.314011107020129,Biology
5.684660410742929,Biochemistry and Biophysics
6.99861859584329,None
6.648494378971277,Information Technology
6.34297725024728,Mathematics
7.127403846153846,None
6.293103448275862,Mechanical Engineering
7.185684723556841,Electrical Engineering
7.022732244201762,Mathematics
6.157142857142857,None
6.111162079510702,Aeronautical Engineering
7.596245648237883,Aeronautical Engineering
7.267241379310344,Biochemistry and Biophysics
6.413043478260869,Aeronautical Engineering
6.913393670309653,Aeronautical Engineering
7.285276532137518,Aeronautical Engineering
6.623277181949117,Biomedical Engineering
6.984194672628568,Aeronautical Engineering
5.9547097195042396,Aeronautical Engineering
6.652670466875051,Biomedical Engineering
6.96232437108895,Computer Science
6.341180505114696,Biomedical Engineering
6.420558932792976,Biochemistry and Biophysics
6.804563492063492,Mechanical Engineering
6.574074074074074,Mechanical Engineering
6.393145458587151,Biomedical Engineering
7.087875210695099,Aeronautical Engineering
6.714670032048676,Aeronautical Engineering
6.439715948314379,Information Technology
6.292719614921781,Information Technology
7.030281121738048,Computer and Systems Engineering
5.8431372549019605,Aeronautical Engineering
6.492939502845163,Biochemistry and Biophysics
7.06424819110641,Aeronautical Engineering
6.663980263157895,Biomedical Engineering
5.759924953007792,Environmental Engineering
5.84943437972089,Biomedical Engineering
5.338709677419355,None
5.771629285131798,Computer Science
6.906250000000001,None
5.674647685922908,Mechanical Engineering
6.849916985326712,Computer and Systems Engineering
6.303627614223182,Aeronautical Engineering
6.7046782204945465,Aeronautical Engineering
5.078947368421052,Mechanical Engineering
7.0165529226402255,Mechanical Engineering
6.314985143602891,Computer Science
6.433504566210044,None
6.807978785545351,Mechanical Engineering
7.305574419815111,Aeronautical Engineering
5.16543427230047,Mechanical Engineering
6.108718689788054,None
5.913070094087897,Aeronautical Engineering
5.212083333333333,Aeronautical Engineering
5.70214380732703,Aeronautical Engineering
6.989139344262295,Chemical Engineering
6.602564102564102,None
6.1467911877394625,None
7.154871802602831,Electrical Engineering
8.148748043818467,Mechanical Engineering
7.0871629330304415,Aeronautical Engineering
6.547169811320755,Mechanical Engineering
6.7157751091703055,Biomedical Engineering
5.9660132111655635,Biomedical Engineering
6.5307692307692315,None
7.255735729609268,Aeronautical Engineering
6.069683406218029,Computer Science
7.390410958904109,Biology
6.692361566840253,Games and Simulation Arts and Sciences
6.478903081017595,Electrical Engineering
5.687051482291336,Aeronautical Engineering
5.107968369829683,Computer Science
7.001042245692051,None
7.08472426490699,Aeronautical Engineering
